// Wino with mass 3 TeV 
// leading jet pt, n_BG, n_sig, significance 
805, 1031.35, 1.12813, 0.0351281;
815, 962.112, 1.31064, 0.0422544;
825, 914.48, 4.50504, 0.148975;
835, 869.141, 0.467514, 0.015858;
845, 867.566, 3.0286, 0.102823;
855, 799.559, 0.170742, 0.00603829;
865, 784.357, 0.764419, 0.0272945;
875, 721.127, 1.24016, 0.046182;
885, 686.569, 3.82933, 0.146144;
895, 677.754, 2.11967, 0.0814201;
905, 649.942, 0.0666339, 0.00261372;
915, 606.588, 5.45125, 0.221335;
925, 599.79, 6.28891, 0.256789;
935, 562.16, 1.36588, 0.0576081;
945, 524.37, 0.1401, 0.00611815;
955, 519.12, 3.97177, 0.174321;
965, 487.781, 3.45189, 0.156295;
975, 479.089, 1.74737, 0.079832;
985, 457.656, 0.461659, 0.02158;
995, 508.95, 0.581092, 0.0257577;
1005, 407.731, 3.61892, 0.179222;
1015, 394.494, 0.829177, 0.0417472;
1025, 397.648, 0.456445, 0.0228896;
1035, 400.912, 0.213011, 0.0106384;
1045, 343.237, 0.491942, 0.0265532;
1055, 336.21, 1.56616, 0.0854143;
1065, 324.741, 3.31989, 0.184228;
1075, 320.794, 0.289893, 0.0161854;
1085, 303.543, 1.34738, 0.0773356;
1095, 288.775, 0.234808, 0.0138176;
1105, 275.102, 0.470149, 0.0283458;
1115, 272.592, 0.354209, 0.0214538;
1125, 252.427, 1.3378, 0.0842021;
1135, 247.804, 2.1472, 0.136401;
1145, 234.828, 0.638996, 0.0416988;
1155, 232.235, 1.45787, 0.0956653;
1165, 217.984, 1.00708, 0.0682105;
1175, 211.697, 0.351398, 0.0241514;
1185, 206.122, 0.19609, 0.0136582;
1195, 210.527, 0.228203, 0.0157278;
1205, 191.507, 0.145629, 0.0105234;
1215, 192.985, 0.286452, 0.0206201;
1225, 188.155, 1.44107, 0.105058;
1235, 173.704, 2.57574, 0.195433;
1245, 162.85, 1.22957, 0.0963521;
1255, 155.799, 0.0394422, 0.00315994;
1265, 154.118, 0.912568, 0.0735086;
1275, 144.884, 0.416364, 0.034591;
1285, 142.44, 0.0315613, 0.00264447;
1295, 139.538, 0.0872551, 0.0073866;
1305, 134.148, 0.00890477, 0.00076883;
1315, 128.715, 1.5603, 0.137529;
1325, 124.682, 5.0177, 0.449369;
1335, 119.176, 3.38983, 0.310515;
1345, 118.344, 1.34994, 0.124091;
1355, 111.407, 2.85158, 0.270165;
1365, 111.641, 0.471274, 0.0446028;
1375, 107.334, 0.0495616, 0.00478383;
1385, 106.614, 0.00348194, 0.00033722;
1395, 99.156, 0.681647, 0.0684542;
1405, 106.984, 4.30176, 0.415897;
1415, 90.9701, 2.84697e-08, 2.98492e-09;
1425, 89.9435, 0.725421, 0.0764901;
1435, 88.424, 0.424684, 0.0451628;
1445, 81.113, 0.837277, 0.092966;
1455, 82.0471, 0.111259, 0.012283;
1465, 79.257, 0.198777, 0.0223278;
1475, 76.2045, 2.49264, 0.285541;
1485, 73.9416, 0.662453, 0.077039;
1495, 69.983, 0.337639, 0.0403605;
1505, 69.6375, 0.789254, 0.0945791;
1515, 71.591, 0.112487, 0.0132945;
1525, 65.3303, 0.0740004, 0.00915539;
1535, 64.3588, 0.54332, 0.0677254;
1545, 63.3773, 1.50654, 0.189241;
1555, 58.3143, 0.015389, 0.00201522;
1565, 57.6986, 0.0273413, 0.00359946;
1575, 57.0013, 0.203097, 0.0269006;
1585, 55.4969, 3.06395, 0.41129;
1595, 52.7554, 2.49293, 0.343223;
1605, 52.7961, 0.903305, 0.124318;
1615, 49.793, 3.72642, 0.52809;
1625, 48.9699, 0.0941764, 0.0134579;
1635, 46.6605, 0.88613, 0.129725;
1645, 46.8448, 1.45661, 0.212821;
1655, 43.8739, 0.355213, 0.0536272;
1665, 42.9425, 2.27469, 0.34712;
1675, 40.5855, 0.2764, 0.0433863;
1685, 41.957, 0.240185, 0.0370804;
1695, 40.6322, 0.0267893, 0.00420268;
1705, 38.6909, 0.230347, 0.0370321;
1715, 37.3069, 0.0949481, 0.015545;
1725, 36.879, 0, 0;
1735, 35.5882, 0.748253, 0.125428;
1745, 37.5143, 0.278721, 0.0455062;
1755, 35.2935, 0.00225806, 0.000380091;
1765, 33.6926, 1.7953, 0.309293;
1775, 34.254, 0.0194527, 0.00332372;
1785, 31.1761, 11.0936, 1.98683;
1795, 29.6208, 0.595484, 0.109414;
1805, 31.335, 2.58017, 0.460928;
1815, 28.8716, 4.34422, 0.808493;
1825, 28.1479, 0, 0;
1835, 27.3309, 0.149516, 0.0285996;
1845, 28.1351, 0.134204, 0.0253012;
1855, 26.4814, 0.0435675, 0.00846628;
1865, 24.954, 0.160797, 0.0321891;
1875, 24.8918, 0.309638, 0.0620621;
1885, 25.5839, 0.0907496, 0.0179416;
1895, 23.8485, 0, 0;
1905, 23.891, 1.86231, 0.381009;
1915, 22.7365, 0.425195, 0.0891716;
1925, 21.1616, 0.221606, 0.0481734;
1935, 21.9137, 0.00160473, 0.000342802;
1945, 21.2955, 0.358534, 0.0776938;
1955, 20.5721, 1.76902, 0.390025;
1965, 19.9752, 0.309709, 0.069296;
1975, 21.0506, 0.00672712, 0.00146621;
1985, 18.7047, 0.0127172, 0.00294048;
1995, 19.8293, 0.682295, 0.153221;
2005, 18.0568, 0.3154, 0.0742234;
2015, 17.5617, 0.186967, 0.0446151;
2025, 17.3746, 0.10004, 0.0240003;
2035, 16.492, 0.120253, 0.0296115;
2045, 16.5855, 0, 0;
2055, 16.0445, 1.88832, 0.471426;
2065, 15.2296, 0.024277, 0.00622086;
2075, 15.953, 0.0394486, 0.00987667;
2085, 15.2143, 0.035987, 0.00922614;
2095, 14.8913, 0.943066, 0.244386;
2105, 14.3611, 0.360984, 0.0952563;
2115, 14.5799, 0.0591868, 0.0155006;
2125, 13.8838, 0.574067, 0.154067;
2135, 13.7974, 3.38553, 0.911439;
2145, 13.6294, 0.0342994, 0.00929067;
2155, 12.5843, 0.207139, 0.058391;
2165, 12.0653, 0.293962, 0.0846296;
2175, 13.059, 0.0767477, 0.0212378;
2185, 11.966, 1.04773, 0.302884;
2195, 11.7097, 0, 0;
2205, 11.356, 0.254832, 0.0756208;
2215, 11.8558, 0.0395193, 0.0114774;
2225, 10.7004, 0.574034, 0.175484;
2235, 11.7395, 1.42652, 0.416345;
2245, 10.4148, 0.0756452, 0.0234399;
2255, 10.9228, 0, 0;
2265, 9.73492, 0.939631, 0.301156;
2275, 10.2937, 1.35782, 0.423211;
2285, 9.81002, 0.132993, 0.0424612;
2295, 9.31458, 0.431122, 0.14126;
2305, 8.63852, 0.604778, 0.205767;
2315, 8.673, 0.621206, 0.210936;
2325, 9.13949, 0.00389267, 0.00128762;
2335, 8.71678, 0.013809, 0.00467718;
2345, 9.45889, 0.383404, 0.124663;
2355, 8.38419, 0, 0;
2365, 8.08598, 0.182046, 0.0640199;
2375, 8.10235, 0.179599, 0.0630954;
2385, 7.79781, 0.334738, 0.119872;
2395, 8.09868, 0.075829, 0.0266458;
2405, 7.57939, 0.292604, 0.106283;
2415, 7.5564, 0.123808, 0.0450393;
2425, 7.24382, 0.0265233, 0.00985471;
2435, 7.09854, 0.342609, 0.128592;
2445, 6.37057, 0.916685, 0.363188;
2455, 18.9819, 1.38993, 0.319025;
2465, 6.62293, 1.6247, 0.631318;
2475, 6.88777, 0.0058516, 0.00222964;
2485, 6.51939, 0.012177, 0.00476913;
2495, 6.59596, 0.051505, 0.0200544;
2505, 6.27427, 0.0774597, 0.0309239;
2515, 6.37366, 0.0607811, 0.0240754;
2525, 6.08336, 0.0232579, 0.00942974;
2535, 6.03243, 0.13901, 0.0565978;
2545, 5.36048, 0.515438, 0.222625;
2555, 5.62081, 0.0342547, 0.0144484;
2565, 5.9435, 0.0492456, 0.0201998;
2575, 5.28065, 0, 0;
2585, 5.3104, 0.0261771, 0.0113595;
2595, 5.3949, 0.0538694, 0.0231927;
2605, 5.12471, 2.23859, 0.988872;
2615, 5.08825, 0.116176, 0.0515028;
2625, 5.12572, 0, 0;
2635, 4.77683, 0.0919244, 0.0420592;
2645, 4.82081, 0, 0;
2655, 4.60105, 0.0506039, 0.0235915;
2665, 4.64951, 0, 0;
2675, 4.56222, 0.0694256, 0.0325036;
2685, 4.15761, 0.000744233, 0.000364995;
2695, 4.36316, 0.0222683, 0.0106607;
2705, 4.0778, 0, 0;
2715, 4.25465, 0.0960467, 0.046564;
2725, 4.0363, 0, 0;
2735, 4.09697, 2.27284e-06, 1.12289e-06;
2745, 4.5696, 0.0106927, 0.00500204;
2755, 4.05341, 0.286634, 0.14237;
2765, 3.99003, 0.258218, 0.12927;
2775, 3.8483, 1.90212, 0.969627;
2785, 3.66773, 0.349347, 0.182414;
2795, 3.68064, 0.0630522, 0.0328654;
2805, 3.46943, 0.180487, 0.0968986;
2815, 3.5563, 0.111819, 0.059295;
2825, 3.38062, 2.10387, 1.14425;
2835, 3.51391, 0.0507372, 0.0270665;
2845, 3.45864, 0.177353, 0.0953644;
2855, 3.33951, 0.30224, 0.16539;
2865, 3.23928, 0.225238, 0.125146;
2875, 3.08007, 0.0770363, 0.043895;
2885, 3.13391, 0, 0;
2895, 3.03458, 0, 0;
2905, 3.10369, 0, 0;
2915, 2.92422, 0, 0;
2925, 2.77501, 0, 0;
2935, 2.95793, 0.941851, 0.547632;
2945, 3.11713, 0.0316307, 0.0179156;
2955, 2.70677, 0.00180962, 0.00109992;
2965, 2.75402, 0, 0;
2975, 2.69166, 3.09734, 1.8879;
2985, 2.6924, 0, 0;
2995, 2.63565, 0.18801, 0.115808;
3005, 2.65525, 0, 0;
3015, 2.55342, 0, 0;
3025, 2.44552, 0, 0;
3035, 2.38039, 0.0359075, 0.0232735;
3045, 2.49327, 0.228341, 0.14461;
3055, 2.35918, 0, 0;
3065, 2.30487, 0, 0;
3075, 2.27977, 0, 0;
3085, 2.39931, 0.450582, 0.290891;
3095, 2.24435, 0, 0;
3105, 2.23716, 0, 0;
3115, 2.16775, 0.359415, 0.244113;
3125, 2.15596, 0.509209, 0.346797;
3135, 1.98848, 0.00407028, 0.00288645;
3145, 1.99795, 0.0157598, 0.0111496;
3155, 1.94764, 0.021201, 0.0151915;
3165, 1.77642, 0, 0;
3175, 1.84135, 0.169863, 0.125179;
3185, 1.82093, 0.0258665, 0.0191686;
3195, 1.87736, 0.155992, 0.113849;
3205, 1.88754, 1.32808, 0.966665;
3215, 1.66147, 0.0300889, 0.0233432;
3225, 1.77565, 0.0207341, 0.0155599;
3235, 1.73773, 0.0819607, 0.0621748;
3245, 1.69468, 0, 0;
3255, 1.61967, 2.55938, 2.01105;
3265, 1.98819, 0.040852, 0.0289724;
3275, 1.7104, 0, 0;
3285, 1.66828, 0, 0;
3295, 1.57477, 1.86224, 1.48398;
3305, 1.61206, 0.0297259, 0.0234123;
3315, 1.53228, 0, 0;
3325, 1.54376, 0.282243, 0.227161;
3335, 1.47341, 0, 0;
3345, 1.42343, 0, 0;
3355, 1.3637, 0.37863, 0.324233;
3365, 1.38329, 0, 0;
3375, 1.32497, 3.1028e-05, 2.69557e-05;
3385, 1.38123, 0.486055, 0.413573;
3395, 1.39315, 0, 0;
3405, 1.34563, 0, 0;
3415, 1.39221, 0.100178, 0.0849025;
3425, 1.35936, 0, 0;
3435, 1.2735, 0, 0;
3445, 1.24311, 0, 0;
3455, 1.22047, 0, 0;
3465, 1.21733, 0, 0;
3475, 1.157, 0, 0;
3485, 1.10277, 0, 0;
3495, 1.13033, 0, 0;
3505, 1.18249, 0, 0;
3515, 1.14236, 1.62219, 1.51775;
3525, 1.47059, 0, 0;
3535, 1.02816, 0.499219, 0.492334;
3545, 1.05641, 0.0330593, 0.0321646;
3555, 1.05695, 0, 0;
3565, 1.04213, 0.840866, 0.823693;
3575, 1.11495, 0, 0;
3585, 0.991696, 0, 0;
3595, 0.972177, 0, 0;
3605, 1.02041, 0.0148641, 0.0147146;
3615, 1.04029, 0, 0;
3625, 0.90645, 3.58238, 3.7627;
3635, 0.954459, 0.689388, 0.705643;
3645, 0.956221, 0.253612, 0.259353;
3655, 0.892375, 0, 0;
3665, 0.892925, 1.67865, 1.77645;
3675, 0.922471, 0, 0;
3685, 0.878461, 0, 0;
3695, 0.836581, 0, 0;
3705, 0.897628, 0.423173, 0.446652;
3715, 0.764302, 0, 0;
3725, 0.808019, 0.00536931, 0.00597321;
3735, 0.824808, 0.509097, 0.560563;
3745, 0.754708, 0.687101, 0.790917;
3755, 0.827441, 0, 0;
3765, 0.858189, 0.0471899, 0.0509398;
3775, 0.786019, 0, 0;
3785, 0.761138, 0, 0;
3795, 0.79077, 0, 0;
3805, 0.72565, 0, 0;
3815, 0.723375, 0, 0;
3825, 0.765542, 0, 0;
3835, 0.645281, 0, 0;
3845, 0.647189, 0, 0;
3855, 0.647049, 0.0333689, 0.0414833;
3865, 0.662036, 2.53397, 3.11431;
3875, 0.677177, 0, 0;
3885, 0.699271, 0, 0;
3895, 0.697193, 0, 0;
3905, 0.65686, 0, 0;
3915, 0.607125, 0, 0;
3925, 0.657101, 0, 0;
3935, 0.648249, 0, 0;
3945, 0.615799, 0, 0;
3955, 0.594535, 0, 0;
3965, 0.614554, 0.88154, 1.12451;
3975, 0.54533, 0, 0;
3985, 0.534328, 0, 0;
3995, 0.555543, 0.232054, 0.311337;
4005, 0.612566, 0, 0;
4015, 0.605007, 0, 0;
4025, 0.529623, 4.4616, 6.13066;
4035, 0.543479, 0, 0;
4045, 0.533925, 2.44746, 3.34947;
4055, 0.499525, 0.157854, 0.223346;
4065, 0.472932, 0.194621, 0.283002;
4075, 0.549984, 0, 0;
4085, 0.504297, 0, 0;
4095, 0.471531, 0, 0;
4105, 0.473304, 0, 0;
4115, 0.50602, 0, 0;
4125, 0.472476, 0, 0;
4135, 0.423604, 0, 0;
4145, 0.479078, 0.0100101, 0.0144623;
4155, 0.443995, 0, 0;
4165, 0.469688, 0.0354716, 0.0517578;
4175, 0.467554, 0, 0;
4185, 0.395881, 0, 0;
4195, 0.438651, 0, 0;
4205, 0.44043, 0, 0;
4215, 0.440013, 0, 0;
4225, 0.389604, 0, 0;
4235, 0.3895, 0, 0;
4245, 0.369262, 0, 0;
4255, 0.422113, 0, 0;
4265, 0.371287, 0, 0;
4275, 0.33414, 0, 0;
4285, 0.371448, 0, 0;
4295, 0.373854, 0.025632, 0.041921;
4305, 0.362104, 0, 0;
4315, 0.353821, 0, 0;
4325, 0.39346, 0.0174908, 0.0278843;
4335, 0.335952, 0, 0;
4345, 0.310351, 0.507512, 0.911002;
4355, 0.362418, 0, 0;
4365, 0.369272, 0, 0;
4375, 0.328723, 0, 0;
4385, 0.299334, 0, 0;
4395, 0.313429, 0, 0;
4405, 0.31771, 0, 0;
4415, 0.369459, 0, 0;
4425, 0.35976, 0, 0;
4435, 0.325909, 0, 0;
4445, 0.291423, 0, 0;
4455, 0.274317, 0, 0;
4465, 0.290713, 0, 0;
4475, 0.340918, 0.0896953, 0.153619;
4485, 0.270111, 0, 0;
4495, 0.342626, 0, 0;
4505, 0.280574, 0, 0;
4515, 0.32008, 0.0939928, 0.166137;
4525, 0.298275, 0, 0;
4535, 0.260929, 0.101851, 0.19939;
4545, 0.254157, 0.00528989, 0.0104929;
4555, 0.275228, 0, 0;
4565, 0.306633, 0, 0;
4575, 0.255112, 0, 0;
4585, 0.256132, 0, 0;
4595, 0.235126, 0.0616855, 0.127213;
4605, 0.263878, 0, 0;
4615, 0.218476, 0.000233247, 0.000499016;
4625, 0.225203, 0.0150338, 0.0316797;
4635, 0.251071, 0, 0;
4645, 0.240647, 0, 0;
4655, 0.223462, 0, 0;
4665, 0.217498, 3.84828, 8.25162;
4675, 0.222012, 0, 0;
4685, 0.261153, 0.262745, 0.514146;
4695, 0.204715, 0, 0;
4705, 0.211921, 0, 0;
4715, 0.218239, 0, 0;
4725, 0.203275, 0, 0;
4735, 0.236198, 0.000853594, 0.00175636;
4745, 0.209326, 0.0688716, 0.150532;
4755, 0.20892, 0, 0;
4765, 0.199707, 0, 0;
4775, 0.190745, 0, 0;
4785, 0.187159, 0, 0;
4795, 0.232395, 0, 0;
4805, 0.174628, 0.000175589, 0.000420186;
4815, 0.188549, 0.267048, 0.615003;
4825, 0.183241, 0, 0;
4835, 0.179631, 2.47493, 5.83945;
4845, 0.179851, 0, 0;
4855, 0.2155, 0, 0;
4865, 0.184485, 0, 0;
4875, 0.20323, 0.003888, 0.00862447;
4885, 0.185695, 0.191004, 0.443243;
4895, 0.167087, 0.134904, 0.33003;
4905, 0.17524, 0.00772177, 0.0184459;
4915, 0.16581, 0, 0;
4925, 0.174819, 0, 0;
4935, 0.180372, 0, 0;
4945, 0.171395, 0, 0;
4955, 0.162646, 0, 0;
4965, 0.160793, 0, 0;
4975, 0.155453, 0, 0;
4985, 0.163505, 0, 0;
4995, 0.165577, 0, 0;
5005, 0.16924, 0, 0;
5015, 0.185298, 0, 0;
5025, 0.155365, 0.305479, 0.775007;
5035, 0.14801, 0.110662, 0.287641;
5045, 0.141326, 0, 0;
5055, 0.148891, 0, 0;
5065, 0.146081, 0, 0;
5075, 0.141616, 0, 0;
5085, 0.144965, 0, 0;
5095, 0.141462, 0, 0;
5105, 0.129783, 0.411171, 1.14133;
5115, 0.131103, 0, 0;
5125, 0.132707, 0, 0;
5135, 0.132507, 0, 0;
5145, 0.139245, 0, 0;
5155, 0.131305, 0, 0;
5165, 0.124464, 0, 0;
5175, 0.126622, 0, 0;
5185, 0.112852, 0, 0;
5195, 0.115002, 0, 0;
5205, 0.141099, 0, 0;
5215, 0.111138, 0.2832, 0.849498;
5225, 0.119169, 0, 0;
5235, 0.123221, 0, 0;
5245, 0.12002, 0, 0;
5255, 0.114292, 0, 0;
5265, 0.111863, 0, 0;
5275, 0.117146, 0, 0;
5285, 0.11979, 0.00258591, 0.00747144;
5295, 0.111625, 0, 0;
5305, 0.115319, 0, 0;
5315, 0.100935, 0, 0;
5325, 0.10534, 0.0291165, 0.0897103;
5335, 0.111931, 0, 0;
5345, 0.103235, 0, 0;
5355, 0.10713, 0, 0;
5365, 0.0969293, 0, 0;
5375, 0.10969, 0, 0;
5385, 0.103644, 0.143023, 0.444257;
5395, 0.10678, 0, 0;
5405, 0.095281, 0, 0;
5415, 0.0979036, 0.635831, 2.03209;
5425, 0.0966862, 0, 0;
5435, 0.107478, 0, 0;
5445, 0.0939253, 0, 0;
5455, 0.0995271, 0, 0;
5465, 0.0965461, 0, 0;
5475, 0.0995754, 0, 0;
5485, 0.081973, 0.136388, 0.476366;
5495, 0.0947223, 0, 0;
5505, 0.0961253, 0, 0;
5515, 0.0940444, 0, 0;
5525, 0.0889297, 0, 0;
5535, 0.0876093, 0, 0;
5545, 0.0869726, 0, 0;
5555, 0.081831, 0.231922, 0.810741;
5565, 0.0808009, 0, 0;
5575, 0.0793274, 0, 0;
5585, 0.0804899, 0, 0;
5595, 0.0860879, 0, 0;
5605, 0.0829398, 0, 0;
5615, 0.0739, 0, 0;
5625, 0.0864564, 0, 0;
5635, 0.0813816, 0, 0;
5645, 0.0797021, 0, 0;
5655, 0.0889286, 0, 0;
5665, 0.0740814, 0, 0;
5675, 0.0763429, 0, 0;
5685, 0.0803408, 0, 0;
5695, 0.0681515, 0, 0;
5705, 0.0647535, 0, 0;
5715, 0.0728352, 0, 0;
5725, 0.0618516, 0, 0;
5735, 0.0719437, 0.342736, 1.2778;
5745, 0.0725284, 0, 0;
5755, 0.0641271, 0, 0;
5765, 0.0695676, 0, 0;
5775, 0.058402, 0, 0;
5785, 0.0608338, 0.231461, 0.938436;
5795, 0.0710035, 0, 0;
5805, 0.0612987, 0.0817867, 0.330337;
5815, 0.0673425, 0, 0;
5825, 0.0650866, 0, 0;
5835, 0.0637859, 0, 0;
5845, 0.0630147, 0, 0;
5855, 0.0644627, 0, 0;
5865, 0.0579519, 0, 0;
5875, 0.0647796, 0, 0;
5885, 0.0654449, 0, 0;
5895, 0.0619682, 0, 0;
5905, 0.0568861, 0, 0;
5915, 0.053317, 0, 0;
5925, 0.0584363, 0, 0;
5935, 0.0494684, 0, 0;
5945, 0.0556305, 0, 0;
5955, 0.0646377, 0, 0;
5965, 0.0521815, 0, 0;
5975, 0.0625873, 0, 0;
5985, 0.0553117, 0, 0;
5995, 0.0570003, 0, 0;
6005, 0.0492402, 0, 0;
6015, 0.0533207, 0, 0;
6025, 0.0498726, 0, 0;
6035, 0.0495077, 0, 0;
6045, 0.0475924, 0, 0;
6055, 0.0537076, 0, 0;
6065, 0.0512913, 0, 0;
6075, 0.0450611, 0, 0;
6085, 0.0503666, 0, 0;
6095, 0.0535562, 0, 0;
6105, 0.0547866, 0, 0;
6115, 0.0472985, 0, 0;
6125, 0.0477165, 1.33827, 6.12646;
6135, 0.0410443, 0, 0;
6145, 0.0452274, 0, 0;
6155, 0.0448624, 0, 0;
6165, 0.0470241, 0, 0;
6175, 0.0419755, 0, 0;
6185, 0.0426306, 0, 0;
6195, 0.0445404, 0, 0;
6205, 0.044619, 0, 0;
6215, 0.0365141, 0, 0;
6225, 0.0449741, 0, 0;
6235, 0.0476978, 0, 0;
6245, 0.0419762, 0, 0;
6255, 0.0354896, 0, 0;
6265, 0.0378729, 0, 0;
6275, 0.0349302, 3.02204, 16.1696;
6285, 0.0392824, 0, 0;
6295, 0.0389722, 0, 0;
6305, 0.0418109, 0, 0;
6315, 0.040713, 0.228757, 1.13373;
6325, 0.0438651, 0, 0;
6335, 0.0339434, 0, 0;
6345, 0.0398277, 0.456624, 2.28805;
6355, 0.0322651, 0.180386, 1.00424;
6365, 0.0384654, 0, 0;
6375, 0.0339264, 0, 0;
6385, 0.040689, 0, 0;
6395, 0.0335106, 0, 0;
6405, 0.0350121, 0, 0;
6415, 0.0333899, 0, 0;
6425, 0.0311271, 0, 0;
6435, 0.038715, 0.675688, 3.43405;
6445, 0.0348209, 0, 0;
6455, 0.0360254, 0, 0;
6465, 0.0386872, 0, 0;
6475, 0.0300935, 0, 0;
6485, 0.0316828, 0, 0;
6495, 0.0313087, 0, 0;
6505, 0.0314598, 0, 0;
6515, 0.0333151, 0, 0;
6525, 0.0311036, 0, 0;
6535, 0.0262782, 0, 0;
6545, 0.0280568, 0.377383, 2.25301;
6555, 0.0253482, 0, 0;
6565, 0.0332887, 0, 0;
6575, 0.0411406, 0, 0;
6585, 0.0240573, 0, 0;
6595, 0.0319548, 0, 0;
6605, 0.0314552, 0, 0;
6615, 0.0309032, 0, 0;
6625, 0.027277, 0, 0;
6635, 0.0255437, 0, 0;
6645, 0.0248108, 0, 0;
6655, 0.0293373, 0, 0;
6665, 0.0284621, 0, 0;
6675, 0.024497, 0, 0;
6685, 0.0220644, 0, 0;
6695, 0.018948, 0, 0;
6705, 0.0252166, 0, 0;
6715, 0.0201443, 0, 0;
6725, 0.0262247, 0, 0;
6735, 0.0237831, 0, 0;
6745, 0.0240945, 0, 0;
6755, 0.0263394, 0, 0;
6765, 0.027219, 0, 0;
6775, 0.0252198, 0, 0;
6785, 0.0232272, 0, 0;
6795, 0.0241527, 0, 0;
6805, 0.02355, 0, 0;
6815, 0.0212172, 0, 0;
6825, 0.0214331, 0.317154, 2.16635;
6835, 0.0282345, 0, 0;
6845, 0.0227035, 0.938303, 6.22725;
6855, 0.0241722, 0, 0;
6865, 0.0228851, 0, 0;
6875, 0.0256162, 0, 0;
6885, 0.0221116, 0.389334, 2.61826;
6895, 0.0237162, 0.873192, 5.67006;
6905, 0.0251013, 0, 0;
6915, 0.0204856, 0, 0;
6925, 0.0207568, 0, 0;
6935, 0.0220871, 0, 0;
6945, 0.0191482, 0, 0;
6955, 0.0203181, 0, 0;
6965, 0.0246624, 0, 0;
6975, 0.0209759, 0, 0;
6985, 0.0183081, 0, 0;
6995, 0.0203477, 0, 0;
7005, 0.0193549, 0, 0;
7015, 0.0172534, 0, 0;
7025, 0.0156101, 0, 0;
7035, 0.0188083, 0, 0;
7045, 0.0162115, 0, 0;
7055, 0.0180139, 0, 0;
7065, 0.0216585, 0, 0;
7075, 0.0160767, 0, 0;
7085, 0.0191582, 0, 0;
7095, 0.0197414, 0, 0;
7105, 0.0159092, 0, 0;
7115, 0.0159483, 0, 0;
7125, 0.0213638, 0, 0;
