// Wino with mass 3 TeV 
// leading jet pt, n_BG, n_sig, significance 
5, 0, 0, -1;
15, 9.8305e+06, 1.17203, 0.000373811;
25, 0, 2.53353, -1;
35, 6.2905e+06, 4.82608, 0.00192421;
45, 1.70542e+07, 4.46966, 0.00108233;
55, 1.29219e+07, 3.76659, 0.00104782;
65, 5.24854e+06, 3.20429, 0.00139866;
75, 2.46062e+06, 3.07984, 0.00196339;
85, 1.47079e+06, 1.65409, 0.00136391;
95, 1.06644e+06, 2.02811, 0.00196392;
105, 842148, 2.15824, 0.00235183;
115, 699298, 4.21164, 0.0050364;
125, 579487, 3.52861, 0.00463534;
135, 474282, 3.36097, 0.0048803;
145, 393273, 4.06861, 0.00648782;
155, 340369, 3.57871, 0.00613411;
165, 301899, 2.19216, 0.00398972;
175, 258446, 2.68132, 0.00527429;
185, 220693, 3.36007, 0.00715244;
195, 183687, 1.55231, 0.00362191;
205, 156659, 2.61046, 0.00659536;
215, 131202, 2.0324, 0.00561097;
225, 111939, 3.22339, 0.00963437;
235, 96321.3, 2.29407, 0.00739173;
245, 83369.4, 1.04601, 0.00362269;
255, 72720.9, 7.69768, 0.028545;
265, 63126.2, 0.468781, 0.0018658;
275, 55672.5, 1.75232, 0.00742665;
285, 48408.5, 1.33372, 0.00606183;
295, 42488.5, 5.5877, 0.027108;
305, 37708.2, 0.996878, 0.00513362;
315, 33349.4, 1.92823, 0.0105588;
325, 29405.4, 2.2633, 0.0131986;
335, 26790.9, 2.14323, 0.0130941;
345, 24011.2, 0.981868, 0.00633644;
355, 21832.6, 1.22035, 0.00825907;
365, 19548.1, 5.34686, 0.0382425;
375, 17346.2, 2.06247, 0.0156598;
385, 16118.4, 0.390526, 0.00307601;
395, 14558.6, 1.73602, 0.0143878;
405, 13370.1, 1.44766, 0.0125199;
415, 12562.5, 4.0969, 0.0365525;
425, 11558, 2.35069, 0.0218652;
435, 10649.6, 0.22398, 0.00217042;
445, 9776.67, 4.38583, 0.0443564;
455, 8994.29, 2.28339, 0.0240767;
465, 8309.92, 3.44772, 0.037821;
475, 7760.53, 2.95813, 0.0335793;
485, 7291.23, 1.66382, 0.0194853;
495, 6584.37, 0.404142, 0.00498054;
505, 6183.41, 1.51342, 0.0192462;
515, 5777.46, 3.51271, 0.0462141;
525, 5520.22, 5.96204, 0.0802448;
535, 5084.63, 3.42082, 0.0479734;
545, 4623.66, 1.45697, 0.0214269;
555, 4415.63, 2.87269, 0.0432307;
565, 4038.85, 0.802058, 0.0126205;
575, 3915.34, 2.13653, 0.0341447;
585, 3601.93, 3.0939, 0.0515511;
595, 3392.5, 8.12458, 0.139489;
605, 3179.63, 3.22064, 0.0571155;
615, 2968.63, 1.47939, 0.0271523;
625, 2794.07, 3.929, 0.0743299;
635, 2582.99, 1.10367, 0.021716;
645, 2502.38, 2.81497, 0.0562726;
655, 2295.45, 3.51941, 0.0734575;
665, 2156.43, 1.49998, 0.0323011;
675, 2055.53, 3.55047, 0.0783113;
685, 1907.92, 0.652584, 0.0149402;
695, 1801.27, 0.481605, 0.0113475;
705, 1706.52, 0.564493, 0.0136648;
715, 1644.08, 3.13984, 0.0774366;
725, 1539.59, 3.35541, 0.0855151;
735, 1460.29, 5.288, 0.138379;
745, 1361.17, 0.252281, 0.00683798;
755, 1334.6, 1.88159, 0.051505;
765, 1209.52, 2.91238, 0.0837416;
775, 1186.25, 2.53495, 0.0736006;
785, 1131.15, 4.50561, 0.133965;
795, 1097.41, 2.06872, 0.0624477;
