// x, y, n_BG, n_sig0, n_sig1, n_sig2, n_sig3 
600, 1000, 4.55073e+08, 8367.03, 246.716, 4175.13, 121.665;
600, 1100, 3.14926e+08, 7032.72, 220.648, 3511.36, 108.363;
600, 1200, 2.26901e+08, 5914.32, 200.964, 2949.26, 96.5264;
600, 1300, 1.5884e+08, 5004.66, 182.876, 2491.39, 87.008;
600, 1400, 1.17585e+08, 4216.77, 165.719, 2098.12, 79.015;
600, 1500, 8.93125e+07, 3588.5, 149.759, 1787.97, 69.9237;
600, 1600, 6.90001e+07, 3073.81, 133.666, 1539.22, 63.5781;
600, 1700, 5.27728e+07, 2658.38, 119.435, 1321.8, 56.6833;
600, 1800, 4.09243e+07, 2282.85, 107.066, 1142.1, 51.9851;
600, 1900, 3.26154e+07, 1985.08, 96.4255, 988.629, 46.3107;
600, 2000, 2.55165e+07, 1702.67, 86.9825, 847.944, 41.9176;
600, 2100, 2.04233e+07, 1482.67, 79.8004, 740.512, 37.8296;
600, 2200, 1.66208e+07, 1286.21, 71.2884, 646.509, 34.5347;
600, 2300, 1.3729e+07, 1137.84, 64.9043, 550.588, 30.9348;
600, 2400, 1.11263e+07, 1001.75, 59.5843, 498.791, 27.701;
600, 2500, 9.2521e+06, 883.056, 55.7273, 441.238, 24.5892;
600, 2600, 7.82991e+06, 780.732, 50.9393, 391.359, 21.9656;
600, 2700, 6.5436e+06, 689.663, 46.5502, 340.84, 20.0131;
600, 2800, 5.49095e+06, 613.944, 41.4962, 296.716, 18.5487;
600, 2900, 4.61806e+06, 540.27, 37.2402, 264.103, 17.0233;
600, 3000, 3.98148e+06, 499.341, 33.7822, 235.966, 15.925;
600, 3100, 3.43418e+06, 450.225, 30.4572, 209.108, 14.8267;
600, 3200, 2.98629e+06, 392.924, 27.5311, 186.087, 13.8505;
600, 3300, 2.64829e+06, 349.948, 25.0041, 166.903, 12.3861;
600, 3400, 2.32458e+06, 316.181, 22.8761, 147.079, 11.4099;
600, 3500, 1.9791e+06, 287.53, 20.8811, 133.65, 10.4336;
600, 3600, 1.69559e+06, 261.949, 19.2851, 122.14, 9.39637;
600, 3700, 1.46916e+06, 236.368, 17.9551, 113.827, 8.66419;
600, 3800, 1.27717e+06, 206.694, 16.6251, 103.595, 8.2981;
600, 3900, 1.08949e+06, 181.113, 15.4281, 88.887, 7.56591;
600, 4000, 956617, 166.788, 14.7631, 81.2133, 7.07779;
700, 100, 2.86906e+10, 14260.9, 347.132, 7096.89, 166.755;
700, 200, 1.55362e+10, 14161.6, 346.068, 7052.13, 166.084;
700, 300, 9.12428e+09, 14000, 344.073, 6977.31, 165.169;
700, 400, 5.62561e+09, 13750.3, 341.812, 6843.66, 163.033;
700, 500, 3.58968e+09, 13367.6, 336.492, 6652.46, 161.813;
700, 600, 2.33144e+09, 12785.4, 327.581, 6407.54, 158.274;
700, 700, 1.51458e+09, 11935.1, 312.419, 6002.75, 151.745;
700, 800, 9.96645e+08, 10626.3, 288.878, 5340.26, 142.044;
700, 900, 6.64615e+08, 9229.62, 262.41, 4626.6, 129.963;
700, 1000, 4.45565e+08, 7975.13, 239.401, 3983.93, 118.187;
700, 1100, 3.10919e+08, 6783.05, 215.727, 3399.45, 105.923;
700, 1200, 2.25064e+08, 5768, 197.772, 2885.95, 95.062;
700, 1300, 1.57913e+08, 4916.67, 180.748, 2453.67, 86.1538;
