// x, y, n_BG, n_sig0, n_sig1, n_sig2, n_sig3 
100, 100, 3.24955e+11, 56398.8, 813.432, 28281, 379.516;
100, 200, 6.48142e+10, 46058.2, 689.21, 23048.1, 323.687;
100, 300, 1.71916e+10, 35903.9, 579.883, 18094.8, 272.007;
100, 400, 6.29463e+09, 27886.2, 497.423, 14007, 232.286;
100, 500, 2.85021e+09, 21860, 430.523, 10991.7, 203.12;
100, 600, 1.48479e+09, 17294, 369.343, 8739.61, 175.48;
100, 700, 8.31303e+08, 13826, 319.335, 6963.68, 151.318;
100, 800, 5.04126e+08, 11091.7, 276.774, 5600.23, 133.929;
100, 900, 3.1906e+08, 9037.88, 239.401, 4534.16, 117.455;
100, 1000, 2.09546e+08, 7459.94, 211.604, 3727.09, 103.421;
100, 1100, 1.42808e+08, 6131.68, 185.669, 3038.98, 91.157;
100, 1200, 1.01718e+08, 5076.65, 167.315, 2518.41, 80.0522;
100, 1300, 7.48831e+07, 4238.55, 150.025, 2102.09, 71.388;
100, 1400, 5.55675e+07, 3528.38, 134.863, 1752.91, 64.0052;
100, 1500, 4.22017e+07, 2967.6, 121.164, 1482.4, 56.1952;
100, 1600, 3.2661e+07, 2521.44, 107.066, 1263.68, 50.6428;
100, 1700, 2.5449e+07, 2163.28, 95.0955, 1078.86, 44.9073;
100, 1800, 1.92842e+07, 1840.94, 85.6525, 924.739, 41.1244;
100, 1900, 1.53041e+07, 1589.2, 77.6724, 801.312, 36.4872;
100, 2000, 1.21461e+07, 1352.82, 69.8254, 678.525, 33.2534;
100, 2100, 9.88847e+06, 1178.85, 63.5743, 596.668, 29.9586;
100, 2200, 8.20154e+06, 1022.29, 55.9933, 516.089, 26.9078;
100, 2300, 6.67695e+06, 907.677, 50.8063, 445.102, 23.918;
100, 2400, 5.52907e+06, 793.066, 46.1512, 400.976, 21.3554;
100, 2500, 4.61305e+06, 699.945, 42.9592, 349.175, 18.7927;
100, 2600, 3.92465e+06, 620.127, 39.5012, 310.804, 16.7792;
100, 2700, 3.31034e+06, 548.495, 36.3092, 269.875, 15.1928;
100, 2800, 2.73191e+06, 488.119, 31.7872, 234.063, 13.9725;
100, 2900, 2.32729e+06, 428.767, 28.1961, 210.4, 12.7522;
100, 3000, 1.97761e+06, 390.905, 25.6691, 183.541, 11.837;
100, 3100, 1.68136e+06, 353.042, 22.6101, 163.076, 10.9218;
100, 3200, 1.42741e+06, 306.993, 20.6151, 143.891, 10.2506;
100, 3300, 1.25471e+06, 270.154, 18.8861, 129.182, 9.15231;
100, 3400, 1.09814e+06, 245.595, 17.2901, 112.555, 8.42013;
100, 3500, 894701, 227.175, 15.9601, 102.322, 7.80997;
100, 3600, 810230, 204.662, 14.4971, 93.3692, 6.95576;
100, 3700, 705778, 182.149, 13.4331, 86.974, 6.3456;
100, 3800, 594341, 159.637, 12.5021, 78.0208, 5.97951;
100, 3900, 549246, 140.194, 11.7041, 65.8701, 5.43037;
100, 4000, 480781, 126.891, 11.1721, 60.1144, 4.94225;
200, 100, 1.46673e+11, 43385.3, 639.467, 21865.7, 302.087;
200, 200, 4.94648e+10, 41301.9, 618.985, 20802.8, 292.447;
200, 300, 1.61813e+10, 34810, 561.529, 17559.5, 264.441;
200, 400, 6.21937e+09, 27639.6, 493.034, 13909.8, 230.882;
200, 500, 2.84571e+09, 21811.9, 429.858, 10973.8, 202.876;
200, 600, 1.48479e+09, 17289.9, 368.811, 8736.42, 175.48;
200, 700, 8.31303e+08, 13824.9, 319.202, 6963.68, 151.318;
200, 800, 5.04126e+08, 11091.7, 276.774, 5600.23, 133.929;
200, 900, 3.1906e+08, 9037.88, 239.401, 4534.16, 117.455;
200, 1000, 2.09546e+08, 7459.94, 211.604, 3727.09, 103.421;
200, 1100, 1.42808e+08, 6131.68, 185.669, 3038.98, 91.157;
200, 1200, 1.01718e+08, 5076.65, 167.315, 2518.41, 80.0522;
200, 1300, 7.48831e+07, 4238.55, 150.025, 2102.09, 71.388;
200, 1400, 5.55675e+07, 3528.38, 134.863, 1752.91, 64.0052;
200, 1500, 4.22017e+07, 2967.6, 121.164, 1482.4, 56.1952;
200, 1600, 3.2661e+07, 2521.44, 107.066, 1263.68, 50.6428;
200, 1700, 2.5449e+07, 2163.28, 95.0955, 1078.86, 44.9073;
200, 1800, 1.92842e+07, 1840.94, 85.6525, 924.739, 41.1244;
200, 1900, 1.53041e+07, 1589.2, 77.6724, 801.312, 36.4872;
200, 2000, 1.21461e+07, 1352.82, 69.8254, 678.525, 33.2534;
200, 2100, 9.88847e+06, 1178.85, 63.5743, 596.668, 29.9586;
200, 2200, 8.20154e+06, 1022.29, 55.9933, 516.089, 26.9078;
200, 2300, 6.67695e+06, 907.677, 50.8063, 445.102, 23.918;
200, 2400, 5.52907e+06, 793.066, 46.1512, 400.976, 21.3554;
200, 2500, 4.61305e+06, 699.945, 42.9592, 349.175, 18.7927;
200, 2600, 3.92465e+06, 620.127, 39.5012, 310.804, 16.7792;
200, 2700, 3.31034e+06, 548.495, 36.3092, 269.875, 15.1928;
200, 2800, 2.73191e+06, 488.119, 31.7872, 234.063, 13.9725;
200, 2900, 2.32729e+06, 428.767, 28.1961, 210.4, 12.7522;
200, 3000, 1.97761e+06, 390.905, 25.6691, 183.541, 11.837;
200, 3100, 1.68136e+06, 353.042, 22.6101, 163.076, 10.9218;
200, 3200, 1.42741e+06, 306.993, 20.6151, 143.891, 10.2506;
200, 3300, 1.25471e+06, 270.154, 18.8861, 129.182, 9.15231;
200, 3400, 1.09814e+06, 245.595, 17.2901, 112.555, 8.42013;
200, 3500, 894701, 227.175, 15.9601, 102.322, 7.80997;
200, 3600, 810230, 204.662, 14.4971, 93.3692, 6.95576;
200, 3700, 705778, 182.149, 13.4331, 86.974, 6.3456;
200, 3800, 594341, 159.637, 12.5021, 78.0208, 5.97951;
200, 3900, 549246, 140.194, 11.7041, 65.8701, 5.43037;
200, 4000, 480781, 126.891, 11.1721, 60.1144, 4.94225;
300, 100, 7.23368e+10, 33210.5, 537.19, 16699.3, 255.472;
300, 200, 2.85529e+10, 32485, 531.604, 16321.4, 252.238;
300, 300, 1.31883e+10, 30457.8, 515.378, 15295, 244.794;
300, 400, 5.75209e+09, 25970.6, 473.083, 13028.5, 223.377;
300, 500, 2.75956e+09, 21174.4, 422.543, 10647, 199.887;
300, 600, 1.46789e+09, 17059.6, 366.816, 8627.7, 174.809;
300, 700, 8.28193e+08, 13748.2, 318.138, 6927.23, 151.318;
300, 800, 5.02735e+08, 11071.2, 276.641, 5588.72, 133.929;
300, 900, 3.18935e+08, 9035.84, 239.401, 4532.88, 117.455;
300, 1000, 2.09504e+08, 7458.91, 211.604, 3726.45, 103.421;
300, 1100, 1.42808e+08, 6131.68, 185.669, 3038.98, 91.157;
300, 1200, 1.01718e+08, 5076.65, 167.315, 2518.41, 80.0522;
300, 1300, 7.48831e+07, 4238.55, 150.025, 2102.09, 71.388;
300, 1400, 5.55675e+07, 3528.38, 134.863, 1752.91, 64.0052;
300, 1500, 4.22017e+07, 2967.6, 121.164, 1482.4, 56.1952;
300, 1600, 3.2661e+07, 2521.44, 107.066, 1263.68, 50.6428;
300, 1700, 2.5449e+07, 2163.28, 95.0955, 1078.86, 44.9073;
300, 1800, 1.92842e+07, 1840.94, 85.6525, 924.739, 41.1244;
300, 1900, 1.53041e+07, 1589.2, 77.6724, 801.312, 36.4872;
300, 2000, 1.21461e+07, 1352.82, 69.8254, 678.525, 33.2534;
300, 2100, 9.88847e+06, 1178.85, 63.5743, 596.668, 29.9586;
300, 2200, 8.20154e+06, 1022.29, 55.9933, 516.089, 26.9078;
300, 2300, 6.67695e+06, 907.677, 50.8063, 445.102, 23.918;
300, 2400, 5.52907e+06, 793.066, 46.1512, 400.976, 21.3554;
300, 2500, 4.61305e+06, 699.945, 42.9592, 349.175, 18.7927;
300, 2600, 3.92465e+06, 620.127, 39.5012, 310.804, 16.7792;
300, 2700, 3.31034e+06, 548.495, 36.3092, 269.875, 15.1928;
300, 2800, 2.73191e+06, 488.119, 31.7872, 234.063, 13.9725;
300, 2900, 2.32729e+06, 428.767, 28.1961, 210.4, 12.7522;
300, 3000, 1.97761e+06, 390.905, 25.6691, 183.541, 11.837;
300, 3100, 1.68136e+06, 353.042, 22.6101, 163.076, 10.9218;
300, 3200, 1.42741e+06, 306.993, 20.6151, 143.891, 10.2506;
300, 3300, 1.25471e+06, 270.154, 18.8861, 129.182, 9.15231;
300, 3400, 1.09814e+06, 245.595, 17.2901, 112.555, 8.42013;
300, 3500, 894701, 227.175, 15.9601, 102.322, 7.80997;
300, 3600, 810230, 204.662, 14.4971, 93.3692, 6.95576;
300, 3700, 705778, 182.149, 13.4331, 86.974, 6.3456;
300, 3800, 594341, 159.637, 12.5021, 78.0208, 5.97951;
300, 3900, 549246, 140.194, 11.7041, 65.8701, 5.43037;
300, 4000, 480781, 126.891, 11.1721, 60.1144, 4.94225;
400, 100, 4.21249e+10, 25338.2, 464.172, 12683.2, 219.045;
400, 200, 1.79371e+10, 24977, 461.645, 12492, 217.459;
400, 300, 9.13619e+09, 24193.1, 455.128, 12125.5, 214.774;
400, 400, 4.87633e+09, 22600.8, 440.897, 11337.6, 207.147;
400, 500, 2.56115e+09, 19541.1, 405.785, 9837.66, 191.71;
400, 600, 1.41008e+09, 16250.2, 358.836, 8233.12, 170.965;
400, 700, 8.11264e+08, 13417.7, 314.414, 6765.43, 149.854;
400, 800, 4.99438e+08, 10959.7, 275.178, 5515.18, 133.319;
400, 900, 3.18469e+08, 8986.72, 238.736, 4509.86, 117.333;
400, 1000, 2.09288e+08, 7436.4, 211.338, 3713.02, 103.421;
400, 1100, 1.42767e+08, 6123.49, 185.536, 3035.78, 91.157;
400, 1200, 1.01718e+08, 5073.58, 167.315, 2517.13, 80.0522;
400, 1300, 7.48831e+07, 4236.51, 150.025, 2102.09, 71.388;
400, 1400, 5.55675e+07, 3528.38, 134.863, 1752.91, 64.0052;
400, 1500, 4.22017e+07, 2967.6, 121.164, 1482.4, 56.1952;
400, 1600, 3.2661e+07, 2521.44, 107.066, 1263.68, 50.6428;
400, 1700, 2.5449e+07, 2163.28, 95.0955, 1078.86, 44.9073;
400, 1800, 1.92842e+07, 1840.94, 85.6525, 924.739, 41.1244;
400, 1900, 1.53041e+07, 1589.2, 77.6724, 801.312, 36.4872;
400, 2000, 1.21461e+07, 1352.82, 69.8254, 678.525, 33.2534;
400, 2100, 9.88847e+06, 1178.85, 63.5743, 596.668, 29.9586;
400, 2200, 8.20154e+06, 1022.29, 55.9933, 516.089, 26.9078;
400, 2300, 6.67695e+06, 907.677, 50.8063, 445.102, 23.918;
400, 2400, 5.52907e+06, 793.066, 46.1512, 400.976, 21.3554;
400, 2500, 4.61305e+06, 699.945, 42.9592, 349.175, 18.7927;
400, 2600, 3.92465e+06, 620.127, 39.5012, 310.804, 16.7792;
400, 2700, 3.31034e+06, 548.495, 36.3092, 269.875, 15.1928;
400, 2800, 2.73191e+06, 488.119, 31.7872, 234.063, 13.9725;
