// higgsino/wino, mass, leading jet pt cut, met cut, sign 
Wino, 3500, 6800, 7400, 24.176144904270522;
Wino, 3600, 6800, 7400, 47.37221784191928;
Wino, 3700, 6800, 7400, 18.053478463246758;
Wino, 3800, 6800, 7400, 77.851877066885422;
Wino, 3900, 6800, 7400, 41.845883548099117;
Wino, 4000, 6800, 7400, 41.453687811121519;
Wino, 4100, 6800, 7400, 18.860833735553854;
Wino, 4200, 6800, 7400, 39.369327644919153;
Wino, 4300, 6800, 7400, 17.361604777132992;
Wino, 4400, 6800, 7400, 35.402238060123217;
Wino, 4500, 6800, 7400, 4.5769088316337205;
Wino, 4600, 6800, 7400, 14.682310480933243;
Wino, 700, 4500, 7100, 0;
Wino, 800, 4500, 7100, 1994.7030368532828;
Wino, 900, 4500, 7100, 2340.2798518191184;
Wino, 1000, 4500, 7100, 1451.4589617626291;
Wino, 1100, 4500, 7100, 931.99535013533875;
Wino, 1200, 4500, 7100, 1674.6800338331343;
Wino, 1300, 4500, 7100, 484.35490591665791;
Wino, 1400, 4500, 7100, 720.85292833827202;
Wino, 1500, 4500, 7100, 666.14025275589245;
Wino, 1600, 4500, 7100, 644.31837805063867;
Wino, 1700, 4500, 7100, 1283.9519409070258;
Wino, 1800, 4500, 7100, 472.99835705882259;
Wino, 1900, 4500, 7100, 840.37117185631428;
Wino, 2000, 4500, 7100, 1128.1417433667937;
Wino, 2100, 4500, 7100, 167.64610938866031;
Wino, 2200, 4500, 7100, 205.29593911671083;
Wino, 2300, 4500, 7100, 94.238679688943776;
Wino, 2400, 4500, 7100, 140.47740275355611;
Wino, 2500, 4500, 7100, 396.96823704753587;
Wino, 2600, 4500, 7100, 386.06771008526795;
Wino, 2700, 4500, 7100, 205.76893078812674;
Wino, 2800, 4500, 7100, 88.466233784660474;
Wino, 2900, 4500, 7100, 78.680114042071921;
Wino, 3000, 4500, 7100, 151.28819829890568;
Wino, 3100, 4500, 7100, 137.88425694736063;
Wino, 3200, 4500, 7100, 65.798509942255691;
Wino, 3300, 4500, 7100, 129.9712452758009;
Wino, 3400, 4500, 7100, 46.62871427454931;
Wino, 3500, 4500, 7100, 45.532034084932604;
Wino, 3600, 4500, 7100, 51.356342507807447;
Wino, 3700, 4500, 7100, 25.757946223110828;
Wino, 3800, 4500, 7100, 64.167047259907108;
Wino, 3900, 4500, 7100, 36.562717796181914;
Wino, 4000, 4500, 7100, 44.47155355881619;
Wino, 4100, 4500, 7100, 31.939484362489331;
Wino, 4200, 4500, 7100, 44.120514670904726;
Wino, 4300, 4500, 7100, 17.911208716730957;
Wino, 4400, 4500, 7100, 36.208665767256974;
Wino, 4500, 4500, 7100, 17.170534350911488;
Wino, 4600, 4500, 7100, 16.655105275382631;
