// higgsino/wino, mass, leading jet pt cut, met cut, sign 
Wino, 700, 1000, 3100, 1866.4850407880647;
Wino, 800, 1000, 3100, 1884.2763913831388;
Wino, 900, 1000, 3100, 1063.1918273673141;
Wino, 1000, 1000, 3100, 1116.8194091094379;
Wino, 1100, 1000, 3100, 999.18711671422568;
Wino, 1200, 1000, 3100, 687.27136025789457;
Wino, 1300, 1000, 3100, 578.55814554986125;
Wino, 1400, 1000, 3100, 441.53473729318927;
Wino, 1500, 1000, 3100, 385.75449772305342;
Wino, 1600, 1000, 3100, 268.05663064807186;
Wino, 1700, 1000, 3100, 311.23983927416469;
Wino, 1800, 1000, 3100, 213.59404144499953;
Wino, 1900, 1000, 3100, 233.36813661387984;
Wino, 2000, 1000, 3100, 150.76885934384148;
Wino, 2100, 1000, 3100, 137.08945326409003;
Wino, 2200, 1000, 3100, 108.46692184799309;
Wino, 2300, 1000, 3100, 106.3701674089355;
Wino, 2400, 1000, 3100, 64.663647564859716;
Wino, 2500, 1000, 3100, 70.824813423739755;
Wino, 2600, 1000, 3100, 64.807045397762309;
Wino, 2700, 1000, 3100, 43.580519149719777;
Wino, 2800, 1000, 3100, 34.45554886378499;
Wino, 2900, 1000, 3100, 31.801712907560066;
Wino, 3000, 1000, 3100, 32.145008464551928;
Wino, 3100, 1000, 3100, 29.998949312689646;
Wino, 3200, 1000, 3100, 25.860609052382678;
Wino, 3300, 1000, 3100, 25.974860932948513;
Wino, 3400, 1000, 3100, 22.686049381489244;
Wino, 3500, 1000, 3100, 16.086658759390357;
Wino, 3600, 1000, 3100, 15.989177258164647;
Wino, 3700, 1000, 3100, 10.918164598169669;
Wino, 3800, 1000, 3100, 11.553036461963259;
Wino, 3900, 1000, 3100, 9.3411494163994639;
Wino, 4000, 1000, 3100, 10.664570907998161;
Wino, 4100, 1000, 3100, 7.9533215074164936;
Wino, 4200, 1000, 3100, 8.8200449141121133;
Wino, 4300, 1000, 3100, 7.5931135134532877;
Wino, 4400, 1000, 3100, 7.8669563673344802;
Wino, 4500, 1000, 3100, 5.5279279439373239;
Wino, 4600, 1000, 3100, 4.322890451968588;
Wino, 700, 1000, 8400, 0;
Wino, 800, 1000, 8400, 707.35267831456804;
Wino, 900, 1000, 8400, 608.03133990984088;
Wino, 1000, 1000, 8400, 457.43497232912199;
Wino, 1100, 1000, 8400, 252.36547993923637;
Wino, 1200, 1000, 8400, 301.77869587316371;
Wino, 1300, 1000, 8400, 78.651685180673994;
Wino, 1400, 1000, 8400, 212.27253704088375;
Wino, 1500, 1000, 8400, 201.8838859928251;
Wino, 1600, 1000, 8400, 0;
Wino, 1700, 1000, 8400, 239.87178496827644;
Wino, 1800, 1000, 8400, 223.92511046993479;
Wino, 1900, 1000, 8400, 214.17643505277545;
Wino, 2000, 1000, 8400, 524.94550132338213;
Wino, 2100, 1000, 8400, 97.501370826081271;
Wino, 2200, 1000, 8400, 119.39815103314866;
Wino, 2300, 1000, 8400, 0;
Wino, 2400, 1000, 8400, 57.578449125416448;
Wino, 2500, 1000, 8400, 200.32305879805796;
Wino, 2600, 1000, 8400, 109.77062196811418;
Wino, 2700, 1000, 8400, 98.424265910862417;
Wino, 2800, 1000, 8400, 0;
Wino, 2900, 1000, 8400, 0;
Wino, 3000, 1000, 8400, 37.643965097735347;
Wino, 3100, 1000, 8400, 51.212331414328503;
Wino, 3200, 1000, 8400, 33.686345320907577;
Wino, 3300, 1000, 8400, 68.176430388317328;
Wino, 3400, 1000, 8400, 20.415698679470029;
Wino, 3500, 1000, 8400, 7.791307228725838;
Wino, 3600, 1000, 8400, 11.073738576259936;
Wino, 3700, 1000, 8400, 6.1474504677740622;
Wino, 3800, 1000, 8400, 24.535348648890583;
Wino, 3900, 1000, 8400, 17.353997370715891;
Wino, 4000, 1000, 8400, 10.730751624067274;
Wino, 4100, 1000, 8400, 4.8916735232828819;
Wino, 4200, 1000, 8400, 18.8720117866701;
Wino, 4300, 1000, 8400, 3.6772145839027561;
Wino, 4400, 1000, 8400, 11.196662665071637;
Wino, 4500, 1000, 8400, 7.8072250305521456;
Wino, 4600, 1000, 8400, 7.3505399143911196;
Wino, 700, 6800, 7400, 0;
Wino, 800, 6800, 7400, 799.33634887752953;
Wino, 900, 6800, 7400, 937.81917285080783;
Wino, 1000, 6800, 7400, 410.79287740784503;
Wino, 1100, 6800, 7400, 272.24776111018906;
Wino, 1200, 6800, 7400, 507.9646626284582;
Wino, 1300, 6800, 7400, 54.248399984846969;
Wino, 1400, 6800, 7400, 184.79747198388577;
Wino, 1500, 6800, 7400, 201.04010459125672;
Wino, 1600, 6800, 7400, 0;
Wino, 1700, 6800, 7400, 267.67689802304983;
Wino, 1800, 6800, 7400, 189.54439471497065;
Wino, 1900, 6800, 7400, 271.85944186677597;
Wino, 2000, 6800, 7400, 315.80115454666844;
Wino, 2100, 6800, 7400, 67.180741446934107;
Wino, 2200, 6800, 7400, 82.26813885630304;
Wino, 2300, 6800, 7400, 0;
Wino, 2400, 6800, 7400, 56.293439244954115;
Wino, 2500, 6800, 7400, 120.17298030868032;
Wino, 2600, 6800, 7400, 82.157096104456059;
Wino, 2700, 6800, 7400, 82.457680571883671;
Wino, 2800, 6800, 7400, 13.241229445838835;
Wino, 2900, 6800, 7400, 21.397395983292377;
Wino, 3000, 6800, 7400, 59.191711420861502;
Wino, 3100, 6800, 7400, 35.62621475117551;
Wino, 3200, 6800, 7400, 24.281302382269324;
Wino, 3300, 6800, 7400, 40.200508904190286;
Wino, 3400, 6800, 7400, 14.066897345376681;
Wino, 3500, 6800, 7400, 7.9851178560138445;
Wino, 3600, 6800, 7400, 15.64652859528768;
Wino, 3700, 6800, 7400, 5.9628676867571437;
Wino, 3800, 6800, 7400, 25.71362870931382;
Wino, 3900, 6800, 7400, 13.821240451846329;
Wino, 4000, 6800, 7400, 13.69170246327152;
Wino, 4100, 6800, 7400, 6.2295283568752948;
Wino, 4200, 6800, 7400, 13.003260958333051;
Wino, 4300, 6800, 7400, 5.7343493292204437;
Wino, 4400, 6800, 7400, 11.692974392571898;
Wino, 4500, 6800, 7400, 1.5117032339746657;
Wino, 4600, 6800, 7400, 4.8494075483527466;
Wino, 700, 4500, 7100, 0;
Wino, 800, 4500, 7100, 658.82872972889265;
Wino, 900, 4500, 7100, 772.96899513244114;
Wino, 1000, 4500, 7100, 479.4011170405746;
Wino, 1100, 4500, 7100, 307.82793292957894;
Wino, 1200, 4500, 7100, 553.12861062926038;
Wino, 1300, 4500, 7100, 159.97716026262833;
Wino, 1400, 4500, 7100, 238.08988622569993;
Wino, 1500, 4500, 7100, 220.0188842329058;
Wino, 1600, 4500, 7100, 212.81135623162226;
Wino, 1700, 4500, 7100, 424.07536893068919;
Wino, 1800, 4500, 7100, 156.22621562581915;
Wino, 1900, 4500, 7100, 277.56546284117383;
Wino, 2000, 4500, 7100, 372.61295441199638;
Wino, 2100, 4500, 7100, 55.371687540397531;
Wino, 2200, 4500, 7100, 67.807017028525806;
Wino, 2300, 4500, 7100, 31.126011483262982;
Wino, 2400, 4500, 7100, 46.398159075218182;
Wino, 2500, 4500, 7100, 131.11429346862857;
Wino, 2600, 4500, 7100, 127.51396790675662;
Wino, 2700, 4500, 7100, 67.963241035956443;
Wino, 2800, 4500, 7100, 29.219435350232587;
Wino, 2900, 4500, 7100, 25.987186378899278;
Wino, 3000, 4500, 7100, 49.968847325503994;
Wino, 3100, 4500, 7100, 45.541671204124995;
Wino, 3200, 4500, 7100, 21.732532573719023;
Wino, 3300, 4500, 7100, 42.928089467102232;
Wino, 3400, 4500, 7100, 15.400957449212724;
Wino, 3500, 4500, 7100, 15.038735904002753;
Wino, 3600, 4500, 7100, 16.96244166315439;
Wino, 3700, 4500, 7100, 8.5075696367155231;
Wino, 3800, 4500, 7100, 21.19367818449253;
Wino, 3900, 4500, 7100, 12.076268234441105;
Wino, 4000, 4500, 7100, 14.688470714139859;
Wino, 4100, 4500, 7100, 10.549264487976229;
Wino, 4200, 4500, 7100, 14.572526385417627;
