// Wino 
// mass, process, number of events for integrated luminosity of 30ab-1 
700, C1N1, 6.70534e+06;
700, C1C1, 1.89708e+06;
800, C1N1, 4.09743e+06;
800, C1C1, 1.16025e+06;
900, C1N1, 2.79139e+06;
900, C1C1, 764489;
1000, C1N1, 2.04198e+06;
1000, C1C1, 579282;
1100, C1N1, 1.24887e+06;
1100, C1C1, 354297;
1200, C1N1, 933346;
1200, C1C1, 283102;
1300, C1N1, 691761;
1300, C1C1, 224602;
1400, C1N1, 614538;
1400, C1C1, 163076;
1500, C1N1, 369496;
1500, C1C1, 118639;
