// higgsino/wino, mass, leading jet pt cut, met cut, sign 
Higgsino, 700, 10000, 7600, 0;
Higgsino, 800, 10000, 7600, 0;
Higgsino, 900, 10000, 7600, 0.90442172186438619;
Higgsino, 1000, 10000, 7600, 54.769735311351013;
Higgsino, 1100, 10000, 7600, 34.107614254805014;
Higgsino, 1200, 10000, 7600, 15.925392556191932;
Higgsino, 1300, 10000, 7600, 0;
Higgsino, 1400, 10000, 7600, 0.43180313941307902;
Higgsino, 1500, 10000, 7600, 0.013683432576343543;
Higgsino, 700, 9400, 9300, 0;
Higgsino, 800, 9400, 9300, 0;
Higgsino, 900, 9400, 9300, 1.1143859666534195;
Higgsino, 1000, 9400, 9300, 147.22651721421911;
Higgsino, 1100, 9400, 9300, 0;
Higgsino, 1200, 9400, 9300, 19.62252072128825;
Higgsino, 1300, 9400, 9300, 0;
Higgsino, 1400, 9400, 9300, 0.53204754738407123;
Higgsino, 1500, 9400, 9300, 2.1213412879539248;
Higgsino, 700, 0, 0, 0.087303296055836394;
Higgsino, 800, 0, 0, 0.049475909305170075;
Higgsino, 900, 0, 0, 0.02696531708007343;
Higgsino, 1000, 0, 0, 0.02040803128942599;
Higgsino, 1100, 0, 0, 0.0093189721127079714;
Higgsino, 1200, 0, 0, 0.0054944435518109527;
Higgsino, 1300, 0, 0, 0.0040712554143543592;
Higgsino, 1400, 0, 0, 0.0032442191918235666;
Higgsino, 1500, 0, 0, 0.0018278964622503661;
