// Wino with mass 3 TeV 
// leading jet pt, n_BG, n_sig, significance 
1425, 824.482, 0.725421, 0.0252638;
1435, 810.554, 0.424684, 0.0149168;
1445, 743.536, 0.837277, 0.0307057;
1455, 752.099, 0.111259, 0.00405695;
1465, 726.523, 0.198777, 0.00737465;
1475, 698.541, 2.49264, 0.0943111;
1485, 677.798, 0.662453, 0.0254452;
1495, 641.51, 0.337639, 0.0133306;
1505, 638.344, 0.789254, 0.0312385;
1515, 656.251, 0.112487, 0.00439103;
1525, 598.861, 0.0740004, 0.00302393;
1535, 589.955, 0.54332, 0.022369;
1545, 580.959, 1.50654, 0.0625041;
1555, 534.548, 0.015389, 0.000665604;
1565, 528.904, 0.0273413, 0.00118886;
1575, 522.512, 0.203097, 0.00888496;
1585, 508.721, 3.06395, 0.135845;
1595, 483.591, 2.49293, 0.113363;
1605, 483.964, 0.903305, 0.0410609;
1615, 456.436, 3.72642, 0.174422;
1625, 448.891, 0.0941764, 0.004445;
1635, 427.721, 0.88613, 0.0428467;
1645, 429.411, 1.45661, 0.0702924;
1655, 402.177, 0.355213, 0.0177125;
1665, 393.639, 2.27469, 0.11465;
1675, 372.034, 0.2764, 0.01433;
1685, 384.606, 0.240185, 0.0122473;
1695, 372.462, 0.0267893, 0.0013881;
1705, 354.667, 0.230347, 0.0122313;
1715, 341.98, 0.0949481, 0.00513435;
1725, 338.058, 0, 0;
1735, 326.225, 0.748253, 0.0414276;
1745, 343.881, 0.278721, 0.0150302;
1755, 323.524, 0.00225806, 0.00012554;
1765, 308.849, 1.7953, 0.102156;
1775, 313.995, 0.0194527, 0.00109779;
1785, 285.781, 11.0936, 0.656228;
1795, 271.524, 0.595484, 0.0361381;
1805, 287.237, 2.58017, 0.15224;
1815, 264.656, 4.34422, 0.267037;
1825, 258.023, 0, 0;
1835, 250.533, 0.149516, 0.00944613;
1845, 257.905, 0.134204, 0.0083567;
1855, 242.746, 0.0435675, 0.00279632;
1865, 228.745, 0.160797, 0.0106317;
1875, 228.175, 0.309638, 0.0204984;
1885, 234.519, 0.0907496, 0.00592592;
1895, 218.611, 0, 0;
1905, 219.001, 1.86231, 0.125843;
1915, 208.418, 0.425195, 0.0294524;
1925, 193.981, 0.221606, 0.0159111;
1935, 200.875, 0.00160473, 0.000113224;
1945, 195.209, 0.358534, 0.0256614;
1955, 188.578, 1.76902, 0.128821;
1965, 183.106, 0.309709, 0.0228877;
1975, 192.964, 0.00672712, 0.000484274;
1985, 171.46, 0.0127172, 0.000971207;
1995, 181.769, 0.682295, 0.0506073;
