// x, y, n_BG, n_sig C1N1 1000, n_sig C1C1 1000 
4600, 4600, 92821.6+/-7019.62, 5.69872+/-2.37751, 1.97612+/-2.37751;
4600, 4700, 88225.7+/-6987.94, 5.04533+/-2.28601, 1.74629+/-2.28601;
4600, 4800, 83013.4+/-6936.69, 4.93186+/-2.28458, 1.74629+/-2.28458;
4600, 4900, 72209.9+/-2762.09, 4.93176+/-2.28458, 1.59123+/-2.28458;
4600, 5000, 66499+/-2640.28, 4.6572+/-2.27781, 1.59123+/-2.27781;
4600, 5100, 59720.8+/-2491.88, 4.57175+/-2.27621, 1.59123+/-2.27621;
4600, 5200, 54688.6+/-2370.09, 4.57175+/-2.27621, 1.41862+/-2.27621;
4600, 5300, 49559.3+/-2239.58, 4.57175+/-2.27621, 1.41121+/-2.27621;
4600, 5400, 45484.3+/-2149.5, 4.57175+/-2.27621, 1.41121+/-2.27621;
4600, 5500, 41409.3+/-2055.48, 4.30347+/-2.26034, 1.26918+/-2.26034;
4600, 5600, 37625.3+/-1964.14, 4.30347+/-2.26034, 1.26918+/-2.26034;
4600, 5700, 33744.4+/-1865.83, 4.27407+/-2.26015, 1.26917+/-2.26015;
4600, 5800, 30736.6+/-1785.91, 3.22671+/-2.00283, 1.16836+/-2.00283;
4600, 5900, 28117+/-1713.28, 3.22671+/-2.00283, 1.1328+/-2.00283;
4600, 6000, 25393.3+/-1634.53, 2.59919+/-1.90201, 0.963773+/-1.90201;
4600, 6100, 23258.7+/-1569.9, 2.59919+/-1.90201, 0.963773+/-1.90201;
4600, 6200, 20736.1+/-1489.91, 2.59369+/-1.902, 0.963773+/-1.902;
4600, 6300, 18698.6+/-1422.02, 2.59369+/-1.902, 0.951747+/-1.902;
4600, 6400, 17243.2+/-1371.47, 2.59369+/-1.902, 0.951747+/-1.902;
4600, 6500, 15884.9+/-1322.55, 2.59369+/-1.902, 0.951747+/-1.902;
4600, 6600, 14720.6+/-1279.13, 2.59369+/-1.902, 0.951747+/-1.902;
4600, 6700, 13944.4+/-1249.35, 2.18685+/-1.85798, 0.873368+/-1.85798;
4600, 6800, 12683.1+/-1199.37, 2.18685+/-1.85798, 0.873368+/-1.85798;
4600, 6900, 11421.8+/-1147.22, 2.18685+/-1.85798, 0.762154+/-1.85798;
4600, 7000, 9882.94+/-1030.94, 1.90277+/-1.83613, 0.762154+/-1.83613;
4600, 7100, 9009.72+/-989, 1.8865+/-1.83606, 0.762154+/-1.83606;
4600, 7200, 8233.53+/-950.164, 1.8865+/-1.83606, 0.762154+/-1.83606;
4600, 7300, 7651.38+/-919.962, 1.8865+/-1.83606, 0.593224+/-1.83606;
4600, 7400, 6487.09+/-856.368, 1.8844+/-1.83606, 0.32715+/-1.83606;
4600, 7500, 6001.97+/-828.431, 1.8844+/-1.83606, 0.32715+/-1.83606;
4600, 7600, 5419.83+/-793.609, 1.8844+/-1.83606, 0.279219+/-1.83606;
4600, 7700, 5128.75+/-775.612, 1.83573+/-1.83573, 0.279219+/-1.83573;
4600, 7800, 4837.68+/-757.188, 1.83573+/-1.83573, 0.279219+/-1.83573;
4600, 7900, 4449.59+/-731.901, 1.83573+/-1.83573, 0.279219+/-1.83573;
4600, 8000, 3783.94+/-605.916, 1.83573+/-1.83573, 0.188611+/-1.83573;
4600, 8100, 3298.82+/-565.743, 1.83573+/-1.83573, 0+/-1.83573;
4600, 8200, 2813.7+/-522.491, 1.83573+/-1.83573, 0+/-1.83573;
4600, 8300, 2328.58+/-475.319, 1.83573+/-1.83573, 0+/-1.83573;
4600, 8400, 2231.56+/-465.311, 1.83573+/-1.83573, 0+/-1.83573;
4600, 8500, 2037.51+/-444.62, 1.83573+/-1.83573, 0+/-1.83573;
4600, 8600, 1940.48+/-433.905, 1.83573+/-1.83573, 0+/-1.83573;
4600, 8700, 1552.39+/-388.097, 1.83573+/-1.83573, 0+/-1.83573;
4600, 8800, 1455.36+/-375.773, 1.83573+/-1.83573, 0+/-1.83573;
4600, 8900, 1164.29+/-336.102, 1.83573+/-1.83573, 0+/-1.83573;
4600, 9000, 1067.27+/-321.793, 1.83573+/-1.83573, 0+/-1.83573;
4600, 9100, 582.145+/-237.66, 1.83573+/-1.83573, 0+/-1.83573;
4600, 9200, 582.145+/-237.66, 1.83573+/-1.83573, 0+/-1.83573;
4600, 9300, 388.097+/-194.048, 1.83573+/-1.83573, 0+/-1.83573;
4600, 9400, 388.097+/-194.048, 1.83573+/-1.83573, 0+/-1.83573;
4600, 9500, 194.048+/-137.213, 0+/-0, 0+/-0;
4600, 9600, 0+/-0, 0+/-0, 0+/-0;
4600, 9700, 0+/-0, 0+/-0, 0+/-0;
4600, 9800, 0+/-0, 0+/-0, 0+/-0;
4600, 9900, 0+/-0, 0+/-0, 0+/-0;
4600, 10000, 194.048+/-137.213, 0+/-0, 0+/-0;
4700, 1000, 568135+/-56354.9, 6.06906+/-2.39288, 1.99695+/-2.39288;
4700, 2000, 145427+/-7556.4, 6.06906+/-2.39288, 1.99695+/-2.39288;
4700, 3000, 121601+/-7278.38, 6.06906+/-2.39288, 1.99667+/-2.39288;
4700, 3100, 120690+/-7270.22, 6.06905+/-2.39288, 1.95955+/-2.39288;
4700, 3200, 119220+/-7260.49, 6.06905+/-2.39288, 1.95955+/-2.39288;
4700, 3300, 116838+/-7236.18, 6.06905+/-2.39288, 1.95955+/-2.39288;
4700, 3400, 116158+/-7231.62, 6.06905+/-2.39288, 1.95955+/-2.39288;
4700, 3500, 114666+/-7219.5, 6.06905+/-2.39288, 1.95955+/-2.39288;
4700, 3600, 113689+/-7212.97, 6.06905+/-2.39288, 1.95955+/-2.39288;
4700, 3700, 111969+/-7186.95, 6.06905+/-2.39288, 1.95955+/-2.39288;
4700, 3800, 109459+/-7162.74, 6.06905+/-2.39288, 1.95955+/-2.39288;
4700, 3900, 107046+/-7139.11, 6.06905+/-2.39288, 1.95955+/-2.39288;
4700, 4000, 104731+/-7116.06, 5.8351+/-2.38142, 1.95955+/-2.38142;
4700, 4100, 103663+/-7108.78, 5.8351+/-2.38142, 1.95955+/-2.38142;
4700, 4200, 95404.2+/-3229.17, 5.8351+/-2.38142, 1.95934+/-2.38142;
4700, 4300, 92311.9+/-3166.01, 5.69872+/-2.37751, 1.95028+/-2.37751;
4700, 4400, 90468.4+/-3137.64, 5.69872+/-2.37751, 1.89895+/-2.37751;
4700, 4500, 88527.9+/-3107.49, 5.69872+/-2.37751, 1.89895+/-2.37751;
4700, 4600, 84465.9+/-3026.3, 5.69872+/-2.37751, 1.89712+/-2.37751;
4700, 4700, 80355.1+/-2960.04, 5.04533+/-2.28601, 1.66728+/-2.28601;
4700, 4800, 75239.9+/-2838.59, 4.93186+/-2.28458, 1.66728+/-2.28458;
4700, 4900, 71239.7+/-2745, 4.93176+/-2.28458, 1.51222+/-2.28458;
4700, 5000, 65722.8+/-2625.98, 4.6572+/-2.27781, 1.51222+/-2.27781;
4700, 5100, 59041.7+/-2478.62, 4.57175+/-2.27621, 1.51222+/-2.27621;
4700, 5200, 54106.4+/-2358.14, 4.57175+/-2.27621, 1.33962+/-2.27621;
4700, 5300, 49171.2+/-2231.16, 4.57175+/-2.27621, 1.33283+/-2.27621;
4700, 5400, 45096.2+/-2140.73, 4.57175+/-2.27621, 1.33283+/-2.27621;
4700, 5500, 41021.2+/-2046.3, 4.30347+/-2.26034, 1.19081+/-2.26034;
4700, 5600, 37237.2+/-1954.53, 4.30347+/-2.26034, 1.19081+/-2.26034;
4700, 5700, 33356.3+/-1855.71, 4.27407+/-2.26015, 1.19079+/-2.26015;
4700, 5800, 30445.5+/-1777.99, 3.22671+/-2.00283, 1.08999+/-2.00283;
4700, 5900, 27825.9+/-1705.01, 3.22671+/-2.00283, 1.05442+/-2.00283;
4700, 6000, 25199.2+/-1628.76, 2.59919+/-1.90201, 0.885394+/-1.90201;
4700, 6100, 23064.7+/-1563.89, 2.59919+/-1.90201, 0.885394+/-1.90201;
4700, 6200, 20639.1+/-1486.75, 2.59369+/-1.902, 0.885394+/-1.902;
4700, 6300, 18698.6+/-1422.02, 2.59369+/-1.902, 0.873368+/-1.902;
4700, 6400, 17243.2+/-1371.47, 2.59369+/-1.902, 0.873368+/-1.902;
4700, 6500, 15884.9+/-1322.55, 2.59369+/-1.902, 0.873368+/-1.902;
4700, 6600, 14720.6+/-1279.13, 2.59369+/-1.902, 0.873368+/-1.902;
4700, 6700, 13944.4+/-1249.35, 2.18685+/-1.85798, 0.873368+/-1.85798;
4700, 6800, 12683.1+/-1199.37, 2.18685+/-1.85798, 0.873368+/-1.85798;
4700, 6900, 11421.8+/-1147.22, 2.18685+/-1.85798, 0.762154+/-1.85798;
4700, 7000, 9882.94+/-1030.94, 1.90277+/-1.83613, 0.762154+/-1.83613;
4700, 7100, 9009.72+/-989, 1.8865+/-1.83606, 0.762154+/-1.83606;
4700, 7200, 8233.53+/-950.164, 1.8865+/-1.83606, 0.762154+/-1.83606;
4700, 7300, 7651.38+/-919.962, 1.8865+/-1.83606, 0.593224+/-1.83606;
4700, 7400, 6487.09+/-856.368, 1.8844+/-1.83606, 0.32715+/-1.83606;
4700, 7500, 6001.97+/-828.431, 1.8844+/-1.83606, 0.32715+/-1.83606;
4700, 7600, 5419.83+/-793.609, 1.8844+/-1.83606, 0.279219+/-1.83606;
4700, 7700, 5128.75+/-775.612, 1.83573+/-1.83573, 0.279219+/-1.83573;
4700, 7800, 4837.68+/-757.188, 1.83573+/-1.83573, 0.279219+/-1.83573;
